Request_ID,Timestamp_Date,Timestamp_Time,Request_Count,Pregnancy_Test,Lube,Condoms,Emergency_Contraceptive,Tampons,Pads,Dental_Dams,Panty_Liner,Razor,Midol,Personal_Wipes,Toothbrush_Toothpaste_Kit,Sexual_Health_Items,Family_Planning_Items,Menstrual_Product_Items,Personal_Hygiene_Items,How_Soon_Needed
S1_1016,9/12/22,10:15:52,First,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1017,9/12/22,10:16:20,First,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,Anytime
S1_1017_2,10/24/22,12:31:22,Second,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1018,9/12/22,10:20:43,First,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1019,9/12/22,10:30:29,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1020,9/12/22,10:35:00,First,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1021,9/12/22,11:06:47,First,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,Anytime
S1_1022,9/12/22,11:10:21,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1022_2,9/25/22,14:58:46,Second,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1023,9/12/22,11:30:44,First,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1024,9/12/22,11:47:52,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1025,9/12/22,11:52:57,First,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1026,9/12/22,13:00:10,First,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3_4_days
S1_1027,9/12/22,13:01:11,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1028_2,9/12/22,13:09:15,Second,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1029,9/12/22,14:09:50,First,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1030,9/12/22,14:38:22,First,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1031,9/12/22,15:17:40,First,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1031_2,11/7/22,10:11:32,Second,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1032,9/12/22,15:32:40,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1033,9/12/22,15:59:47,First,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,7_plus_days
S1_1033_2,11/14/22,11:50:26,Second,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,7_plus_days
S1_1034,9/12/22,16:03:16,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1035,9/12/22,16:04:13,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1035_2,10/12/22,14:06:26,Second,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1036,9/12/22,20:22:27,First,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1037,9/13/22,8:42:08,First,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3_4_days
S1_1038,9/13/22,12:23:14,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1039,9/13/22,13:45:49,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1039_2,10/17/22,15:51:00,Second,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1_2_days
S1_1040,9/13/22,14:08:11,First,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Anytime
S1_1041,9/13/22,17:55:47,First,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3_4_days
S1_1041_2,10/12/22,17:59:50,Second,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1041_3,10/17/22,0:25:53,Third,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1041_4,11/21/22,12:36:06,Fourth,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1042,9/13/22,22:55:28,First,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1_2_days
S1_1042_2,9/15/22,18:38:35,Second,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1043,9/14/22,11:05:04,First,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1044,9/15/22,10:01:55,First,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1045,9/16/22,15:50:57,First,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1046,9/17/22,19:23:25,First,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1047,9/17/22,22:22:06,First,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1048,9/19/22,16:11:17,First,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1049,9/19/22,18:24:25,First,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1050,9/20/22,14:47:49,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1051,9/20/22,17:52:45,First,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1052,9/20/22,18:44:34,First,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1053,9/21/22,19:23:26,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1054,9/25/22,0:07:02,First,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1055,9/25/22,16:49:01,First,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3_4_days
S1_1055_2,11/17/22,23:51:11,Second,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1056,9/25/22,19:24:54,First,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1_2_days
S1_1056_2,11/13/22,9:42:46,Second,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1_2_days
S1_1057,9/25/22,22:45:29,First,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,7_plus_days
S1_1058,9/30/22,11:58:00,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1059,9/30/22,21:29:54,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1060,10/1/22,19:44:18,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1061,10/2/22,17:27:24,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1062,10/3/22,0:01:39,First,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1_2_days
S1_1062_2,10/17/22,9:31:55,Second,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1062_3,12/8/22,11:41:54,Third,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1_2_days
S1_1063,10/3/22,10:52:23,First,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1064,10/5/22,11:12:15,First,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1_2_days
S1_1065,10/5/22,16:46:14,First,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1067,10/6/22,15:36:30,First,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1067_2,10/19/22,14:11:44,Second,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1_2_days
S1_1067_3,12/4/22,10:51:03,Third,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1_2_days
S1_1069,10/11/22,12:56:07,First,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,Anytime
S1_1069_2,10/25/22,21:40:35,Second,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1_2_days
S1_1070,10/11/22,17:17:40,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1071,10/13/22,14:46:27,First,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1_2_days
S1_1071_2,11/9/22,19:17:57,Second,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1_2_days
S1_1072,10/16/22,13:35:44,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1073,10/16/22,17:17:39,First,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1074,10/17/22,10:15:15,First,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S1_1075,10/17/22,10:25:06,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1076,10/17/22,11:01:09,First,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3_4_days
S1_1077,10/21/22,20:24:03,First,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,3_4_days
S1_1077_2,12/8/22,12:20:59,Second,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,Anytime
S1_1078,10/21/22,20:25:02,First,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,3_4_days
S1_1079,10/24/22,15:38:14,First,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,Anytime
S1_1080,10/24/22,17:22:48,First,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1_2_days
S1_1081,10/25/22,13:02:48,First,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1_2_days
S1_1082,10/25/22,17:42:28,First,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,3_4_days
S1_1083,10/27/22,11:28:53,First,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,3_4_days
S1_1084,10/27/22,12:51:56,First,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1_2_days
S1_1085,10/27/22,23:19:18,First,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,Anytime
S1_1086,11/2/22,11:54:58,First,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,Anytime
S1_1087,11/4/22,8:39:04,First,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,3_4_days
S1_1088,11/7/22,10:35:05,First,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,Anytime
S1_1089,11/7/22,11:10:29,First,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,Anytime
S1_1089_2,12/10/22,18:37:44,Second,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,Anytime
S1_1090,11/9/22,22:13:05,First,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1_2_days
S1_1091,11/21/22,11:34:42,First,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,Anytime
S1_1092,11/28/22,18:53:56,First,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1_2_days
S1_1093,11/28/22,20:29:02,First,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1_2_days
S1_1094,12/2/22,21:44:10,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S1_1095,12/5/22,19:00:07,First,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1_2_days
S1_1096,12/6/22,1:22:47,First,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,Anytime
S1_1097,12/7/22,17:31:50,First,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Anytime
S1_1098,12/8/22,7:23:59,First,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Anytime
S2_1094,4/18/23,14:56:31,First,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,Anytime
S2_1099,12/15/22,13:36:28,First,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,Anytime
S2_1100,12/20/22,1:10:01,First,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S2_1101,1/18/23,16:00:16,First,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,Anytime
S2_1101_2,2/21/23,9:23:40,Second,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,Anytime
S2_1101_3,3/29/23,23:14:53,Third,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,Anytime
S2_1102,1/18/23,17:35:13,First,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,Anytime
S2_1102_2,4/25/23,10:29:28,Second,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1_2_days
S2_1103,1/24/23,15:57:10,First,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1_2_days
S2_1103_2,4/14/23,9:43:12,Second,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1_2_days
S2_1104,1/24/23,22:54:32,First,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1_2_days
S2_1105,1/24/23,22:56:58,First,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1_2_days
S2_1106,1/29/23,11:44:45,First,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Anytime
S2_1107,2/4/23,11:45:46,First,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1_2_days
S2_1107_2,4/28/23,19:21:34,Second,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1_2_days
S2_1108,2/4/23,17:13:31,First,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,Anytime
S2_1108_2,2/12/23,22:28:31,Second,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1_2_days
S2_1109,2/6/23,10:39:53,First,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,3_4_days
S2_1110,2/6/23,10:42:50,First,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,3_4_days
S2_1110_2,4/16/23,22:30:24,Second,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1_2_days
S2_1111,2/7/23,11:09:10,First,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,Anytime
S2_1111_2,4/30/23,23:32:23,Second,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,Anytime
S2_1112,2/8/23,21:32:16,First,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1_2_days
S2_1113,2/14/23,23:05:49,First,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1_2_days
S2_1114,2/22/23,17:46:19,First,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1_2_days
S2_1115,2/23/23,19:35:56,First,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1_2_days
S2_1116,2/24/23,22:22:25,First,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1_2_days
S2_1117,3/13/23,15:53:43,First,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1_2_days
S2_1118,3/14/23,12:50:51,First,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3_4_days
S2_1119,3/15/23,17:10:12,First,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,Anytime
S2_1120,3/22/23,17:25:38,First,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,Anytime
S2_1121,3/23/23,14:24:39,First,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Anytime
S2_1122,3/27/23,16:22:03,First,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1_2_days
S2_1123,3/28/23,10:16:07,First,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1_2_days
S2_1123_2,4/23/23,23:32:19,Second,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,Anytime
S2_1124,3/28/23,12:20:32,First,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,Anytime
S2_1125,4/3/23,8:57:31,First,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1_2_days
S2_1126,4/12/23,10:12:22,First,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S2_1127,4/17/23,11:16:48,First,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,Anytime
S2_1128,4/18/23,12:17:24,First,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Anytime
S2_1129,4/26/23,15:45:12,First,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S2_1130,4/27/23,16:47:50,First,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1_2_days
S2_1131,4/30/23,22:03:43,First,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1_2_days
S2_1132,5/1/23,10:13:17,First,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,7_plus_days
Walk_in_001,10/17/02,9:31:00,NA,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA
Walk_in_002,11/4/22,19:30:00,NA,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,NA
Walk_in_003,11/7/22,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA
Walk_in_004,12/8/22,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
Walk_in_005,12/13/22,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
Walk_in_006,2/7/23,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA
Walk_in_007,2/1/23,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA
Walk_in_008,2/16/23,NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,NA
Walk_in_009,2/16/23,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
Walk_in_010,2/16/23,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
Walk_in_011,2/27/23,NA,NA,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,NA
Walk_in_012,2/28/23,NA,NA,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,NA
Walk_in_013,3/15/23,NA,NA,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,NA
Walk_in_014,3/20/23,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA
Walk_in_015,3/22/23,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA
Walk_in_016,4/28/23,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA
Walk_in_017,5/1/23,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA
Walk_in_018,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA
Walk_in_019,5/4/23,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
